split,class_name,count
train,Battery,3571
train,Biological,2956
train,Cardboard,6098
train,Clothes,3726
train,E_Waste,3698
train,Glass,3565
train,Metal,3726
train,Other,7675
train,Paper,3818
train,Plastic,3822
val,Battery,765
val,Biological,633
val,Cardboard,1306
val,Clothes,798
val,E_Waste,792
val,Glass,764
val,Metal,798
val,Other,1644
val,Paper,818
val,Plastic,819
test,Battery,767
test,Biological,635
test,Cardboard,1308
test,Clothes,800
test,E_Waste,794
test,Glass,765
test,Metal,799
test,Other,1646
test,Paper,819
test,Plastic,820
