,precision,recall,f1-score,support
Battery,0.9125151883353585,0.9791395045632334,0.9446540880503145,767.0
Biological,0.8846153846153846,0.905511811023622,0.8949416342412452,635.0
Cardboard,0.8827004219409282,0.7996941896024465,0.8391496189330124,1308.0
Clothes,0.9501246882793017,0.9525,0.951310861423221,800.0
E_Waste,0.8212974296205631,0.845088161209068,0.8330229671011794,794.0
Glass,0.8942065491183879,0.9281045751633987,0.9108402822322001,765.0
Metal,0.768957345971564,0.8122653316645807,0.7900182592818016,799.0
Other,0.8927125506072875,0.8037667071688943,0.8459079283887468,1646.0
Paper,0.6867196367763905,0.7387057387057387,0.711764705882353,819.0
Plastic,0.7897142857142857,0.8426829268292683,0.8153392330383481,820.0
accuracy,0.8503222986998799,0.8503222986998799,0.8503222986998799,0.8503222986998799
macro avg,0.8483563480979452,0.8607458945930251,0.8536949578572421,9153.0
weighted avg,0.8528647290436918,0.8503222986998799,0.8505200011220188,9153.0
