,Battery,Biological,Cardboard,Clothes,E_Waste,Glass,Metal,Other,Paper,Plastic
Battery,0.9791395045632334,0.0,0.002607561929595828,0.0,0.003911342894393742,0.0,0.011734028683181226,0.001303780964797914,0.0,0.001303780964797914
Biological,0.0031496062992125984,0.905511811023622,0.006299212598425197,0.0031496062992125984,0.0015748031496062992,0.009448818897637795,0.025196850393700787,0.01889763779527559,0.014173228346456693,0.012598425196850394
Cardboard,0.00764525993883792,0.0022935779816513763,0.7996941896024465,0.0007645259938837921,0.00764525993883792,0.0022935779816513763,0.012232415902140673,0.013761467889908258,0.13914373088685014,0.01452599388379205
Clothes,0.0,0.00625,0.00125,0.9525,0.01625,0.0,0.00375,0.0075,0.00375,0.00875
E_Waste,0.021410579345088162,0.0025188916876574307,0.0025188916876574307,0.0025188916876574307,0.845088161209068,0.010075566750629723,0.03526448362720403,0.061712846347607056,0.010075566750629723,0.008816120906801008
Glass,0.00130718954248366,0.006535947712418301,0.0,0.00261437908496732,0.00392156862745098,0.9281045751633987,0.01699346405228758,0.006535947712418301,0.011764705882352941,0.022222222222222223
Metal,0.016270337922403004,0.02127659574468085,0.0025031289111389237,0.006257822277847309,0.025031289111389236,0.026282853566958697,0.8122653316645807,0.03629536921151439,0.030037546933667083,0.023779724655819776
Other,0.012150668286755772,0.015795868772782502,0.006682867557715674,0.010935601458080195,0.04070473876063183,0.010328068043742407,0.04495747266099635,0.8037667071688943,0.01275820170109356,0.04191980558930741
Paper,0.008547008547008548,0.006105006105006105,0.13553113553113552,0.002442002442002442,0.019536019536019536,0.006105006105006105,0.0231990231990232,0.014652014652014652,0.7387057387057387,0.045177045177045176
Plastic,0.0024390243902439024,0.014634146341463415,0.007317073170731708,0.00975609756097561,0.015853658536585366,0.02926829268292683,0.020731707317073172,0.032926829268292684,0.024390243902439025,0.8426829268292683
