epoch,local_epoch,stage,lr,train_loss,train_acc,val_loss,val_acc,val_macro_f1,val_weighted_f1,time_sec
51,1,continue,3e-05,0.2512029753971066,0.8864376978079944,0.41845985181459233,0.8295939586297472,0.8356635078751372,0.830917986412482,538.3774755001068
52,2,continue,3e-05,0.21723147766375764,0.9038565232680811,0.3924654760506321,0.8378023421254241,0.8421171555824307,0.8386517979349989,473.2334508895874
53,3,continue,3e-05,0.2060167012708909,0.9078185441331614,0.3918506642380546,0.8370362263324943,0.8420485428780482,0.8380272334680283,449.24514627456665
54,4,continue,3e-05,0.19610676928235027,0.9130465361622319,0.3928496191795694,0.8362701105395645,0.8413133425980037,0.836960613325045,452.92424964904785
55,5,continue,3e-05,0.19153355392345214,0.9161411323408745,0.38190632346840986,0.8487468534529933,0.8514458081544204,0.849013804497868,441.2459280490875
56,6,continue,3e-05,0.1839120671222937,0.9194467237135154,0.3777546415616533,0.8466673963007552,0.851319284229621,0.8475311764145749,436.6757535934448
57,7,continue,3e-05,0.18276571810259487,0.9201969288477319,0.3853173728021553,0.8453540549414469,0.8490270956109389,0.845932425072639,424.49300479888916
58,8,continue,3e-05,0.1781117366552842,0.9229398663697105,0.38201933656908355,0.8558607858159133,0.8578967687080541,0.855930349060971,424.73740673065186
59,9,continue,3e-05,0.17433934063365628,0.9243465009963662,0.3820607330875557,0.8501696399255774,0.8541853570907115,0.8512809942285152,439.1373701095581
60,10,continue,3e-05,0.16622749887482807,0.9282850779510022,0.3776266691629143,0.8548757797964321,0.8578630903419551,0.8555126694554009,435.3569087982178
61,11,continue,3e-05,0.16674801336162298,0.9273238776227875,0.374758536645773,0.8555324504760863,0.8579819883774128,0.855590594087787,438.22098898887634
62,12,continue,1.5e-05,0.1640293687127872,0.9307935763685383,0.3796718395211653,0.8521396519645398,0.8538706843635552,0.8524276834764932,430.75333881378174
